gameId,Date,Season,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,HTGD,ATGD,DiffPts,DiffFormPts,f_cornersAgainstHome,f_cornersForHome,f_freesAgainstHome,f_freesForHome,f_goalsAgainstHome,f_goalsForHome,f_halfTimeGoalsAgainstHome,f_halfTimeGoalsForHome,f_redsAgainstHome,f_redsForHome,f_shotsAgainstHome,f_shotsForHome,f_shotsOnTargetAgainstHome,f_shotsOnTargetForHome,f_yellowsAgainstHome,f_yellowsForHome,f_cornersAgainstAway,f_cornersForAway,f_freesAgainstAway,f_freesForAway,f_goalsAgainstAway,f_goalsForAway,f_halfTimeGoalsAgainstAway,f_halfTimeGoalsForAway,f_redsAgainstAway,f_redsForAway,f_shotsAgainstAway,f_shotsForAway,f_shotsOnTargetAgainstAway,f_shotsOnTargetForAway,f_yellowsAgainstAway,f_yellowsForAway
1,2016-08-20,1617,Juventus,Fiorentina,H,1.5,4.2,7.0,1.0,-1.0,0.0,0.0,2.5500000000000003,3.7,14.35,11.05,2.9,1.9,2.45,0.55,0.0,0.55,9.35,12.4,4.9,3.25,1.45,3.1,6.15,7.8,12.45,16.7,1.9,3.65,1.0,1.1,0.4499999999999999,0.0,10.45,20.0,3.35,7.85,1.1,1.9
2,2016-08-20,1617,Roma,Udinese,H,1.44,4.5,7.5,4.0,-4.0,0.0,0.0,4.65,3.9,15.35,9.75,2.75,1.0,1.1,0.55,0.0,0.0,13.25,14.5,6.05,3.8,1.0,1.55,4.35,2.6500000000000004,10.8,16.05,2.45,1.55,0.55,0.0,0.0,0.0,21.45,11.15,6.55,4.1,2.35,3.0
3,2016-08-21,1617,Atalanta,Lazio,A,3.1,3.25,2.4,-1.0,1.0,0.0,0.0,5.8,4.0,10.249999999999998,15.55,0.55,0.8999999999999999,0.55,0.0,0.0,0.0,13.0,10.35,3.0,2.9,1.7999999999999998,2.0,4.25,3.1,5.0,16.0,1.9,1.7999999999999998,0.0,1.35,0.0,0.0,15.7,8.25,5.45,3.25,2.0,1.45
4,2016-08-21,1617,Bologna,Crotone,H,1.85,3.5,5.0,1.0,-1.0,0.0,0.0,9.45,6.7,16.150000000000002,14.099999999999998,3.1,2.45,1.1,0.4499999999999999,0.0,1.55,18.35,11.55,6.2,3.9,4.1,2.2,7.25,4.449999999999999,14.05,14.55,1.7999999999999998,1.1,0.0,0.55,0.55,0.0,18.4,11.0,6.25,2.1,1.65,2.5500000000000003
5,2016-08-21,1617,Chievo,Inter,H,3.75,3.3,2.1,2.0,-2.0,0.0,0.0,4.449999999999999,6.15,17.85,8.55,1.1,2.9,0.0,0.55,0.0,0.0,14.3,22.8,3.2,7.9,2.5500000000000003,0.55,1.45,3.9,16.45,21.55,0.55,1.55,0.55,1.55,1.0,0.0,7.45,11.15,1.9,4.449999999999999,3.55,2.35
6,2016-08-21,1617,Empoli,Sampdoria,A,2.3,3.2,3.3,-1.0,1.0,0.0,0.0,4.449999999999999,3.65,22.65,18.1,1.55,0.0,1.0,0.0,0.0,1.0,12.8,10.750000000000002,3.9,3.55,3.45,3.0,5.55,1.9,12.5,16.45,2.1,0.55,0.0,0.55,0.0,0.0,18.9,8.299999999999999,7.1,1.65,1.55,1.55
7,2016-08-21,1617,Genoa,Cagliari,H,2.05,3.3,3.8,2.0,-2.0,0.0,0.0,5.289036544850498,5.146179401993355,14.661129568106311,18.11295681063123,1.5348837209302326,1.730897009966777,0.7308970099667775,1.730897009966777,0.5980066445182725,0.0,14.102990033222593,11.491694352159469,4.352159468438538,5.475083056478405,3.328903654485049,2.2093023255813957,8.867109634551493,7.222591362126247,13.27574750830565,12.451827242524915,2.255813953488372,1.4651162790697674,0.6578073089700998,0.2691029900332226,0.0,0.9269102990033224,14.993355481727574,12.534883720930234,4.511627906976744,3.1362126245847177,4.461794019933555,1.7176079734219272
8,2016-08-21,1617,Milan,Torino,H,1.85,3.5,4.33,1.0,-1.0,0.0,0.0,3.345514950166113,2.255813953488372,8.617940199335548,15.598006644518271,1.5382059800664452,1.4784053156146175,0.0,0.8073089700996677,0.0,0.0,12.202657807308972,9.355481727574752,4.867109634551495,3.149501661129568,2.0,2.877076411960133,11.2,3.0,10.9,12.2,2.0,1.45,0.0,0.8999999999999999,0.0,0.0,22.0,9.55,5.65,4.1,1.45,1.9
9,2016-08-21,1617,Palermo,Sassuolo,A,3.0,3.2,2.5,-1.0,1.0,0.0,0.0,2.926910299003322,6.990033222591363,13.252491694352155,10.31893687707641,1.196013289036545,3.0598006644518274,0.5382059800664452,0.6578073089700998,0.6578073089700998,0.0,8.378737541528238,18.34551495016612,2.196013289036545,6.521594684385382,2.122923588039867,2.1827242524916945,4.388704318936877,5.95016611295681,12.79734219269103,11.056478405315616,2.046511627906977,1.4019933554817277,0.6578073089700998,0.7308970099667775,0.4019933554817276,0.0,12.345514950166113,15.50498338870432,5.627906976744186,6.292358803986711,1.803986710963455,1.32890365448505
10,2016-08-21,1617,Pescara,Napoli,D,7.5,4.5,1.44,0.0,0.0,0.0,0.0,6.219269102990033,3.1926910299003324,11.6843853820598,13.21594684385382,2.2691029900332227,1.32890365448505,0.7308970099667775,0.0,0.0,0.4019933554817276,19.66112956810631,11.08970099667774,7.93687707641196,4.461794019933555,1.807308970099668,3.0,3.132890365448505,3.8205980066445178,16.62126245847176,13.03986710963455,2.1362126245847173,1.9401993355481728,1.4651162790697674,0.3289036544850499,0.0,0.3289036544850499,11.219269102990031,16.259136212624583,5.744186046511628,3.149501661129568,1.67109634551495,2.6578073089701
